INSTNM,CITY,STABBR,ZIP,CARNEGIESIZE,INSTSIZE,LONGITUD,LATITUDE
University of the Arts,Philadelphia,PA,19102-4901,2,-2,-75.165888,39.946017
Cairn University-Langhorne,Langhorne,PA,19047-2990,2,2,-74.909509,40.165809
Philadelphia College of Osteopathic Medicine,Philadelphia,PA,19131,2,2,-75.216092,40.004885
Community College of Philadelphia,Philadelphia,PA,19130-3991,3,4,-75.165604,39.962458
University of Pittsburgh-Bradford,Bradford,PA,16701,2,2,-78.673701,41.943415
University of Pittsburgh-Greensburg,Greensburg,PA,15601-5860,2,2,-79.532676,40.276447
University of Pittsburgh-Johnstown,Johnstown,PA,15904,2,2,-78.834163,40.265957
University of Pittsburgh-Pittsburgh Campus,Pittsburgh,PA,15260,4,5,-79.953254,40.444388
University of Pittsburgh-Titusville,Titusville,PA,16354,1,1,-79.664156,41.628697
Beaver Falls Beauty Academy,Beaver Falls,PA,15010-4208,-2,-2,-80.320347,40.754161
Pittsburgh Institute of Aeronautics,West Mifflin,PA,15122,2,1,-79.926575,40.350804
Pittsburgh Institute of Mortuary Science Inc,Pittsburgh,PA,15206-3706,1,1,-79.930487,40.459175
Pittsburgh Technical College,Oakdale,PA,15071,2,-2,-80.189404,40.424679
Pittsburgh Theological Seminary,Pittsburgh,PA,15206-2596,1,1,-79.921397,40.467347
Point Park University,Pittsburgh,PA,15222-1984,3,2,-80.002061,40.438768
Joseph F McCloskey School of Nursing,Pottsville,PA,17901,-2,1,-76.189544,40.692149
The Salon Professional Academy-Altoona,Altoona,PA,16601-2419,-2,1,-78.404069,40.467868
Reading Area Community College,Reading,PA,19603,3,3,-75.935086,40.334861
Reading Hospital School of Health Sciences,Reading,PA,19611,-2,1,-75.950474,40.32606
Reconstructionist Rabbinical College,Wyncote,PA,19095-1898,1,1,-75.149506,40.087689
Walnut Hill College,Philadelphia,PA,19104,1,1,-75.20749,39.955098
Robert Morris University,Moon Township,PA,15108-1189,3,3,-80.210468,40.520415
Rosedale Technical College,Pittsburgh,PA,15205-9791,2,1,-80.103926,40.45205
Rosemont College,Rosemont,PA,19010-1699,2,1,-75.32925,40.033417
Saint Francis University,Loretto,PA,15940,2,2,-78.63904,40.506734
Saint Joseph's University - Philadelphia,Philadelphia,PA,19131-1395,3,3,-75.238343,39.994442
Saint Vincent College,Latrobe,PA,15650-2690,2,2,-79.403762,40.29265
Saint Vincent Seminary,Latrobe,PA,15650-2690,1,1,-79.403762,40.29265
Schuylkill Technology Center,Frackville,PA,17931,-2,1,-76.22938,40.775735
University of Scranton,Scranton,PA,18510-4699,3,2,-75.656915,41.406556
Seton Hill University,Greensburg,PA,15601,2,2,-79.557433,40.309407
UPMC Shadyside School of Nursing,Pittsburgh,PA,15232,-2,1,-79.939494,40.454751
Sharon Regional School of Nursing,Sharon,PA,16146,-2,-1,-80.497236,41.232638
Laurel Technical Institute,Hermitage,PA,16148,1,1,-80.463868,41.189936
Shippensburg University of Pennsylvania,Shippensburg,PA,17257-2299,3,3,-77.522335,40.057933
Slippery Rock University of Pennsylvania,Slippery Rock,PA,16057-1383,3,3,-80.045965,41.062719
Saint Charles Borromeo Seminary-Overbrook,Ambler,PA,19002,1,1,-75.231732,40.201235
South Hills Beauty Academy,Pittsburgh,PA,15216,-2,1,-80.041544,40.38933
South Hills School of Business & Technology,State College,PA,16801-4516,1,1,-77.855466,40.775033
St Lukes Hospital School of Nursing,Bethlehem,PA,18015,-2,1,-75.394494,40.607054
The Beauty Institute,Stroudsburg,PA,18360-1720,-2,1,-75.223872,40.989612
Susquehanna University,Selinsgrove,PA,17870-1025,2,2,-76.875329,40.797502
Swarthmore College,Swarthmore,PA,19081,2,2,-75.354278,39.905159
Thaddeus Stevens College of Technology,Lancaster,PA,17602-3198,2,2,-76.288718,40.037951
Talmudical Yeshiva of Philadelphia,Philadelphia,PA,19131,1,1,-75.247964,39.989249
Temple University,Philadelphia,PA,19122-6096,4,5,-75.156859,39.980546
Theological Seminary of the Reformed Episcopal Church,Oreland,PA,19075,1,1,-75.182362,40.102057
Thiel College,Greenville,PA,16125-2181,2,1,-80.384383,41.41354
Thomas Jefferson University,Philadelphia,PA,19107,3,3,-75.158266,39.948274
Triangle Tech Inc-Pittsburgh,Pittsburgh,PA,15214-3897,1,1,-80.012781,40.462003
Triangle Tech Inc-Greensburg,Greensburg,PA,15601-3304,1,1,-79.539468,40.303168
Triangle Tech Inc-Dubois,Falls Creek,PA,15840-3333,1,1,-78.795923,41.147974
Trinity Anglican Seminary,Ambridge,PA,15003-2397,1,1,-80.230178,40.593403
Ursinus College,Collegeville,PA,19426-1000,2,2,-75.456505,40.193023
University of Valley Forge,Phoenixville,PA,19460-2373,2,1,-75.5469,40.117835
Valley Forge Military College,Wayne,PA,19087-3695,1,1,-75.382097,40.053697
Venus Beauty Academy,Aston,PA,19014,-2,1,-75.422229,39.855718
Villanova University,Villanova,PA,19085-1699,3,4,-75.340502,40.036463
Washington Health System School of Nursing,Washington,PA,15301,-2,1,-80.245709,40.183984
Washington & Jefferson College,Washington,PA,15301,2,2,-80.24049,40.170622
Waynesburg University,Waynesburg,PA,15370-1257,2,2,-80.186205,39.899871
Welder Training and Testing Institute,Allentown,PA,18109-3253,-2,1,-75.447263,40.626469
West Chester University of Pennsylvania,West Chester,PA,19383,3,4,-75.59812,39.953398
Western Pennsylvania Hospital School of Nursing,Pittsburgh,PA,15224,-2,1,-79.945111,40.462132
Westminster College,New Wilmington,PA,16172,2,2,-80.331017,41.119272
Westminster Theological Seminary,Glenside,PA,19038,2,2,-75.176327,40.09815
Westmoreland County Community College,Youngwood,PA,15697-1895,3,2,-79.564897,40.234321
Widener University,Chester,PA,19013-5792,3,3,-75.355363,39.861689
Wilkes University,Wilkes-Barre,PA,18766,3,3,-75.890262,41.244199
Williamson College of the Trades,Media,PA,19063-5299,1,1,-75.422024,39.90807
Wilson College,Chambersburg,PA,17201-1285,2,2,-77.650712,39.949659
Yeshivath Beth Moshe,Scranton,PA,18505-2196,1,1,-75.656191,41.394852
York College of Pennsylvania,York,PA,17403-3651,3,2,-76.727984,39.94614
YTI Career Institute-York,York,PA,17402,2,1,-76.660321,39.992432
Brown University,Providence,RI,2912,3,4,-71.40385,41.82617
Bryant University,Smithfield,RI,02917-1291,2,2,-71.539547,41.920092
Johnson & Wales University-Providence,Providence,RI,02903-3703,3,2,-71.41277,41.819956
New England Institute of Technology,East Greenwich,RI,02818-1205,2,2,-71.502892,41.661783
New England Tractor Trailer Training School of Rhode Island,Pawtucket,RI,2860,-2,1,-71.405906,41.880296
Providence College,Providence,RI,02918-0001,3,2,-71.437446,41.842742
Rhode Island College,Providence,RI,2908,3,3,-71.46556,41.842415
Community College of Rhode Island,Warwick,RI,02886-1807,3,4,-71.481509,41.712817
University of Rhode Island,Kingston,RI,2881,4,4,-71.527356,41.484691
Rhode Island School of Design,Providence,RI,02903-2784,2,2,-71.409309,41.827114
Roger Williams University,Bristol,RI,02809-2921,3,2,-71.260374,41.650214
Salve Regina University,Newport,RI,02840-4192,2,2,-71.30124,41.471545
Empire Beauty School-Warwick,Providence,RI,2903,-2,1,-71.422425,41.821724
Northpoint Bible College,Haverhill,MA,1835,1,1,-71.079335,42.765357
Aiken Technical College,Graniteville,SC,29829,2,2,-81.841666,33.533833
Allen University,Columbia,SC,29204,2,1,-81.020045,34.010348
Anderson University,Anderson,SC,29621-4035,3,2,-82.640358,34.5152
Charleston Southern University,Charleston,SC,29406-9121,3,2,-80.072587,32.983047
Technical College of the Lowcountry,Beaufort,SC,29901-1288,2,2,-80.689468,32.420197
Benedict College,Columbia,SC,29204-1086,2,2,-81.020403,34.012941
Bob Jones University,Greenville,SC,29614-0001,2,2,-82.365838,34.874016
Southern Wesleyan University,Central,SC,29630-1020,2,1,-82.761586,34.728068
Charleston Cosmetology Institute,Charleston,SC,29420,-2,1,-80.111988,32.91777
College of Charleston,Charleston,SC,29424-0001,3,4,-79.939794,32.784225
Charzanne Beauty College,Greenwood,SC,29649,-2,-1,-82.138883,34.212583
Northeastern Technical College,Cheraw,SC,29520,2,2,-79.939245,34.698248
Citadel Military College of South Carolina,Charleston,SC,29409,3,2,-79.958775,32.797183
Claflin University,Orangeburg,SC,29115-4498,2,2,-80.854319,33.498444
Clemson University,Clemson,SC,29634,4,5,-82.835114,34.679381
Clinton College,Rock Hill,SC,29730,1,1,-81.043469,34.913721
Coker University,Hartsville,SC,29550,2,2,-80.070416,34.37696
Columbia International University,Columbia,SC,29203-1513,2,2,-81.07443,34.07551
Columbia College,Columbia,SC,29203,2,2,-81.029967,34.045581
Converse University,Spartanburg,SC,29302-0006,2,2,-81.917881,34.955534
Denmark Technical College,Denmark,SC,29042,2,1,-81.123629,33.313355
Erskine College,Due West,SC,29639,2,1,-82.39095,34.332087
Florence-Darlington Technical College,Florence,SC,29501-0548,3,2,-79.81469,34.243882
Francis Marion University,Florence,SC,29506,3,2,-79.652854,34.189777
Furman University,Greenville,SC,29613-6162,2,2,-82.440458,34.924676
Greenville Technical College,Greenville,SC,29606,3,4,-82.371178,34.826212
Horry-Georgetown Technical College,Conway,SC,29526,3,3,-79.003611,33.79614
Kenneth Shuler School of Cosmetology-North Augusta,North Augusta,SC,29841,-2,1,-81.957885,33.497587
Kenneth Shuler School of Cosmetology and Nails-Columbia,Columbia,SC,29210,-2,1,-81.132969,34.045282
Lander University,Greenwood,SC,29649-2099,3,2,-82.164736,34.199892
Limestone University,Gaffney,SC,29340-3799,2,2,-81.649161,35.057076
Medical University of South Carolina,Charleston,SC,29425,2,2,-79.947158,32.784363
Midlands Technical College,West Columbia,SC,29170-2176,3,3,-81.115761,33.949325
Morris College,Sumter,SC,29150-3599,2,1,-80.346155,33.938574
Newberry College,Newberry,SC,29108,2,2,-81.619777,34.285868
North Greenville University,Tigerville,SC,29688-1892,2,2,-82.37026,35.069758
Orangeburg Calhoun Technical College,Orangeburg,SC,29118-8299,2,2,-80.82927,33.54485
Piedmont Technical College,Greenwood,SC,29646,3,3,-82.120635,34.207415
Presbyterian College,Clinton,SC,29325,2,2,-81.87448,34.465834
University of South Carolina Aiken,Aiken,SC,29801,3,2,-81.767612,33.572704
University of South Carolina Beaufort,Bluffton,SC,29909,2,2,-80.973595,32.303308
University of South Carolina-Columbia,Columbia,SC,29208,4,5,-81.026935,33.996788
University of South Carolina-Lancaster,Lancaster,SC,29720-0889,2,2,-80.787069,34.736282
University of South Carolina-Salkehatchie,Allendale,SC,29810-0617,2,1,-81.301838,33.014312
University of South Carolina-Sumter,Sumter,SC,29150-2498,2,2,-80.373459,33.934698
University of South Carolina-Union,Union,SC,29379-0729,2,2,-81.621042,34.717771
Coastal Carolina University,Conway,SC,29526,3,4,-79.011767,33.794995
South Carolina State University,Orangeburg,SC,29117-0001,2,2,-80.848722,33.497968
University of South Carolina-Upstate,Spartanburg,SC,29303-4999,3,2,-81.970583,34.996403
Sherman College of Chiropractic,Boiling Springs,SC,29316,1,1,-81.985878,35.014602
Spartanburg Methodist College,Spartanburg,SC,29301-5899,2,2,-81.970863,34.955117
Spartanburg Community College,Spartanburg,SC,29303,3,3,-81.989811,34.974587
Central Carolina Technical College,Sumter,SC,29150-2499,3,2,-80.37101,33.933342
Tri-County Technical College,Pendleton,SC,29670,3,3,-82.792015,34.641914
Trident Technical College,Charleston,SC,29423-8067,3,4,-80.031276,32.928767
Voorhees University,Denmark,SC,29042,1,1,-81.127863,33.307199
Williamsburg Technical College,Kingstree,SC,29556-4197,2,1,-79.817984,33.657085
Winthrop University,Rock Hill,SC,29733,3,2,-81.031404,34.941515
Wofford College,Spartanburg,SC,29303-3663,2,2,-81.933568,34.959411
York Technical College,Rock Hill,SC,29730,3,2,-80.995273,34.934416
Augustana University,Sioux Falls,SD,57197-0001,2,2,-96.736975,43.525148
The Salon Professional Academy,Rapid City,SD,57701,-2,1,-103.194526,44.086343
Black Hills State University,Spearfish,SD,57799-9500,3,2,-103.870966,44.494889
Dakota State University,Madison,SD,57042-1799,3,2,-97.113358,44.013014
Dakota Wesleyan University,Mitchell,SD,57301-4398,2,1,-98.031188,43.697432
Paul Mitchell the School-Rapid City,Rapid City,SD,57701,-2,1,-103.222781,44.08202
Lake Area Technical College,Watertown,SD,57201-0730,2,2,-97.095229,44.901714
Mitchell Technical College,Mitchell,SD,57301,2,2,-98.002505,43.688663
Mount Marty University,Yankton,SD,57078-3724,2,2,-97.409904,42.874475
National American University-Rapid City,Rapid City,SD,57702,2,1,-103.286487,44.061498
Kairos University,Sioux Falls,SD,57105,2,2,-96.735896,43.525446
Northern State University,Aberdeen,SD,57401-7198,3,2,-98.484728,45.450829
Oglala Lakota College,Kyle,SD,57752-0490,2,2,-102.240331,43.366813
Avera Sacred Heart Hospital,Yankton,SD,57078-3899,-2,-1,-97.407865,42.872359
South Dakota School of Mines and Technology,Rapid City,SD,57701-3995,2,2,-103.205753,44.075439
South Dakota State University,Brookings,SD,57007-1898,3,4,-96.782139,44.317485
Sinte Gleska University,Mission,SD,57555-0105,2,1,-100.622549,43.298878
University of Sioux Falls,Sioux Falls,SD,57105-1699,2,2,-96.738229,43.531574
Sanford Medical Center,Sioux Falls,SD,57117-5039,-2,1,-96.74341,43.535591
Sisseton Wahpeton College,Sisseton,SD,57262,1,1,-97.060835,45.562731
Southeast Technical College,Sioux Falls,SD,57107-1301,2,2,-96.780241,43.570446
Stewart School,Sioux Falls,SD,57104,-2,1,-96.746329,43.554991
University of South Dakota,Vermillion,SD,57069-2390,3,4,-96.925283,42.786019
Western Dakota Technical College,Rapid City,SD,57703-4018,2,2,-103.179501,44.076648
American Baptist College,Nashville,TN,37207-9980,1,1,-86.789912,36.202623
Arnolds Beauty School,Milan,TN,38358,-2,1,-88.760125,35.919195
TCAT Athens,Athens,TN,37371-0848,-2,1,-84.630484,35.442944
Austin Peay State University,Clarksville,TN,37044,3,4,-87.354081,36.533319
Baptist Health Sciences University,Memphis,TN,38104,2,1,-90.027501,35.138415
Belmont University,Nashville,TN,37212-3757,3,3,-86.794807,36.135589
Bethel University,McKenzie,TN,38201,3,2,-88.516762,36.137848
Bryan College-Dayton,Dayton,TN,37321,2,2,-84.999552,35.497209
Carson-Newman University,Jefferson City,TN,37760,2,2,-83.491709,36.122934
Chattanooga State Community College,Chattanooga,TN,37406-1097,3,3,-85.237389,35.100202
Christian Brothers University,Memphis,TN,38104,2,2,-89.983241,35.127437
Pentecostal Theological Seminary,Cleveland,TN,37311-3330,2,1,-84.868326,35.162528
Austin's Beauty College Inc,Clarksville,TN,37040-1121,-2,1,-87.362846,36.521386
Cleveland State Community College,Cleveland,TN,37312,2,2,-84.879284,35.200103
Columbia State Community College,Columbia,TN,38401,3,3,-87.101917,35.616757
Concorde Career College-Memphis,Memphis,TN,38137-0132,2,1,-89.891723,35.112892
Cumberland University,Lebanon,TN,37087,2,2,-86.298782,36.204514
Lipscomb University,Nashville,TN,37204-3951,3,3,-86.799791,36.106253
Tennessee College of Applied Technology-Dickson,Dickson,TN,37055,-2,2,-87.366455,36.050549
Dyersburg State Community College,Dyersburg,TN,38024-2411,2,2,-89.390791,36.047565
East Tennessee State University,Johnson City,TN,37614,3,4,-82.366954,36.301643
Chattanooga College Medical Dental and & Technical Careers,Chattanooga,TN,37415,1,1,-85.238131,35.13314
Tennessee College of Applied Technology-Elizabethton,Elizabethton,TN,37643,-2,2,-82.178198,36.366033
The Hair Academy LLC,Fayetteville,TN,37334-0135,-2,1,-86.576906,35.153449
Fisk University,Nashville,TN,37208-4501,2,2,-86.804805,36.167087
Welch College,Gallatin,TN,37066-8460,1,1,-86.549153,36.36719
Freed-Hardeman University,Henderson,TN,38340-2399,2,2,-88.637964,35.440611
Tennessee College of Applied Technology-Harriman,Harriman,TN,37748-5849,-2,1,-84.517871,35.966107
Tennessee College of Applied Technology-Hartsville,Hartsville,TN,37074-2028,-2,2,-86.14366,36.387191
Tennessee College of Applied Technology-Hohenwald,Hohenwald,TN,38462-2201,-2,2,-87.573757,35.551687
Tennessee College of Applied Technology-Jacksboro,Jacksboro,TN,37757,-2,1,-84.208918,36.3175
Jackson State Community College,Jackson,TN,38301-3797,3,2,-88.780005,35.645571
John A Gupton College,Nashville,TN,37203-2954,1,1,-86.7948,36.156633
Johnson University,Knoxville,TN,37998,2,1,-83.750273,35.937193
Paul Mitchell the School-Murfreesboro,Murfreesboro,TN,37129,-2,1,-86.42068,35.849141
King University,Bristol,TN,37620-2699,2,2,-82.159421,36.585309
South College,Knoxville,TN,37909-0000,3,4,-83.97362,35.958283
Lane College,Jackson,TN,38301-4598,2,1,-88.806535,35.627378
Le Moyne-Owen College,Memphis,TN,38126-6595,2,1,-90.034101,35.118641
Lee University,Cleveland,TN,37311,3,2,-84.871399,35.166019
Lincoln Memorial University,Harrogate,TN,37752-8231,3,3,-83.660198,36.578508
Tennessee College of Applied Technology-Livingston,Livingston,TN,38570,-2,2,-85.317248,36.39594
The University of Tennessee Southern,Pulaski,TN,38478-2799,2,2,-87.035661,35.201019
Maryville College,Maryville,TN,37804-5907,2,2,-83.964223,35.751505
Tennessee College of Applied Technology-McKenzie,McKenzie,TN,38201,-2,1,-88.492615,36.137048
Genesis Career College-Cookeville,Cookeville,TN,38501-1907,-2,1,-85.485574,36.176484
Meharry Medical College,Nashville,TN,37208,2,2,-86.807371,36.165458
Tennessee College of Applied Technology-Memphis,Memphis,TN,38105-3604,-2,2,-90.039188,35.150262
University of Memphis,Memphis,TN,38152,4,5,-89.938068,35.118878
Memphis Theological Seminary,Memphis,TN,38104,1,1,-89.982653,35.13311
Middle Tennessee State University,Murfreesboro,TN,37132,4,5,-86.360618,35.848005
Middle Tennessee School of Anesthesia Inc,Madison,TN,37115,1,1,-86.683859,36.253425
Tennessee College of Applied Technology-Morristown,Morristown,TN,37813-2094,-2,1,-83.299503,36.204643
Motlow State Community College,Tullahoma,TN,37388,3,3,-86.299184,35.365903
Tennessee College of Applied Technology-Murfreesboro,Murfreesboro,TN,37129-3311,-2,1,-86.41026,35.845661
Lincoln College of Technology-Nashville,Nashville,TN,37206,2,1,-86.744005,36.194393
Nashville State Community College,Nashville,TN,37209-4515,3,3,-86.857342,36.134857
Tennessee College of Applied Technology Northwest,Newbern,TN,38059,-2,2,-89.257582,36.120067
Tennessee College of Applied Technology-Henry/Carroll,Paris,TN,38242,-2,1,-88.296432,36.296408
Tennessee College of Applied Technology-Pulaski,Pulaski,TN,38478-0614,-2,1,-87.007818,35.191308
Rhodes College,Memphis,TN,38112-1690,2,2,-89.990803,35.154405
Roane State Community College,Harriman,TN,37748,3,3,-84.620051,35.880911
Tennessee College of Applied Technology-Crump,Crump,TN,38327,-2,2,-88.319153,35.221452
Southwest Tennessee Community College,Memphis,TN,38134,3,3,-89.86634,35.161335
Tennessee College of Applied Technology-Shelbyville,Shelbyville,TN,37160,-2,1,-86.421097,35.485655
The University of the South,Sewanee,TN,37383-1000,2,2,-85.920179,35.204719
Tennessee College of Applied Technology-Oneida-Huntsville,Huntsville,TN,37756-4149,-2,1,-84.528273,36.408177
Tennessee College of Applied Technology-Upper Cumberland,Crossville,TN,38555,-2,1,-85.039137,35.946609
Tennessee College of Applied Technology-McMinnville,McMinnville,TN,37110,-2,1,-85.74531,35.70137
Tennessee College of Applied Technology-Jackson,Jackson,TN,38301,-2,2,-88.919805,35.606795
Tennessee College of Applied Technology-Knoxville,Knoxville,TN,37919,-2,2,-83.964151,35.957
Pellissippi State Community College,Knoxville,TN,37933-0990,3,3,-84.166504,35.948303
Southern Adventist University,Collegedale,TN,37315-0370,2,2,-85.052088,35.048254
Southern College of Optometry,Memphis,TN,38104-2211,2,1,-90.019856,35.138252
